"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 15 20:39:20 GMT 2022","Thu Sep 15 20:39:21 GMT 2022","384","","Deleta usuário cadastrado","","","","[DELETE] - Deve remover um usuário cadastrado através do seu Token",""
"passed","Thu Sep 15 20:39:16 GMT 2022","Thu Sep 15 20:39:17 GMT 2022","250","","Validar Profiles","","","","Criar Experiência Profissional ",""
"passed","Thu Sep 15 20:39:09 GMT 2022","Thu Sep 15 20:39:11 GMT 2022","2153","Validar página perfil","Devo validar um registro realizado com sucesso","","","","Dado que realizo um registro com sucesso",""
"passed","Thu Sep 15 20:39:17 GMT 2022","Thu Sep 15 20:39:17 GMT 2022","233","","Validar Profiles","","","","Criar Formação Academica ",""
